Trans. Date,Post Date,Description,Amount,Category,Year
3/26/2021,3/26/2021,CHAMPS - 14244 NEW YORK NY,141.59,Merchandise,2021
3/26/2021,3/26/2021,INTERNET PAYMENT - THANK YOU,-264.6,Payments and Credits,2021
3/26/2021,3/26/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004491147262,2.75,Travel/ Entertainment,2021
3/26/2021,3/26/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004491797327,2.75,Travel/ Entertainment,2021
3/27/2021,3/27/2021,DUANE READE #14524 NEW YORK NY,22.94,Merchandise,2021
3/27/2021,3/27/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004494678624,2.75,Travel/ Entertainment,2021
3/27/2021,3/27/2021,MTA*NYCT PAYGO NEW YORK NYAPPLE PAY ENDING IN 4775004494700645,2.75,Travel/ Entertainment,2021
3/27/2021,3/27/2021,PAYPAL *COUPLECENTS 402-935-7733 CA,9.99,Services,2021
3/27/2021,3/27/2021,SQ *WAFELS & DINGES NEW YORK CITYNY0001152921509981711005,15.94,Supermarkets,2021
3/27/2021,3/27/2021,WWW.CVS.COM 800-746-7287 RI,5,Merchandise,2021
3/28/2021,3/28/2021,ABC*CRUNCH FITNESS 804-447-5129 VAABC*CRUNCH FITNESS,9.95,Travel/ Entertainment,2021
3/28/2021,3/28/2021,GONG CHA TIMES SQ. NEW YORK NY,8.13,Restaurants,2021
3/29/2021,3/29/2021,DELI 48 NEW YORK NY,23.65,Restaurants,2021
3/29/2021,3/29/2021,DELI 48 NEW YORK NY,48.22,Restaurants,2021
3/31/2021,3/31/2021,INTERNET PAYMENT - THANK YOU,-465.03,Payments and Credits,2021
4/1/2021,4/1/2021,NETFLIX.COM NETFLIX.COM CA46704475985,14.83,Services,2021
4/1/2021,4/1/2021,SPOTIFY P142A61A27 8777781161 NY,9.99,Merchandise,2021
4/2/2021,4/3/2021,PAYPAL *WEBULL TECH 402-935-7733 CA,1.99,Services,2021
4/3/2021,4/3/2021,COLPARK LOC 989 WASHINGTON DC,15,Services,2021
4/3/2021,4/3/2021,MARATHON PETRO269977 BOWLING GREENVA,20.66,Gasoline,2021
4/3/2021,4/3/2021,MCDONALD'S F33384 RUTHER GLEN VA,17.43,Restaurants,2021
4/3/2021,4/3/2021,STATE FARM INSURANCE 800-956-6310 IL,91.78,Services,2021
4/4/2021,4/4/2021,PAYPAL *HULU 402-935-7733 CA,0.99,Services,2021
4/4/2021,4/4/2021,UBER EATS 866-576-1039 CA,169.85,Restaurants,2021
4/5/2021,4/5/2021,MCDONALD'S F19030 RICHMOND VA,10.88,Restaurants,2021
4/7/2021,4/7/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,4.24,Travel/ Entertainment,2021
4/7/2021,4/7/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,84.95,Travel/ Entertainment,2021
4/7/2021,4/7/2021,JIMMY JOHNS - 1131 GLEN ALLEN VA,7.43,Restaurants,2021
4/8/2021,4/8/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,4.24,Travel/ Entertainment,2021
4/9/2021,4/9/2021,CVS/PHARMACY #02169 GLEN ALLEN VAAPPLE PAY ENDING IN 4775,117.8,Merchandise,2021
4/9/2021,4/9/2021,INTERNET PAYMENT - THANK YOU,-450.02,Payments and Credits,2021
4/10/2021,4/10/2021,COLPARK LOC 989 WASHINGTON DC,15,Services,2021
4/10/2021,4/10/2021,DOMINION CAR WASH LABURN RICHMOND VA,5.65,Automotive,2021
4/10/2021,4/10/2021,SHEETZ 028600002865498 ASHLAND VA,4.5,Gasoline,2021
4/10/2021,4/10/2021,SHEETZ 028600002865498 ASHLAND VA,5.66,Gasoline,2021
4/11/2021,4/11/2021,AMOCO#2026664ASHLAND AMO ASHLAND VA,16.37,Gasoline,2021
4/12/2021,4/12/2021,COR MOBILE APP METER FEE RICHMOND VA,3,Services,2021
4/12/2021,4/12/2021,JIMMY JOHNS - 3133 RICHMOND VA,9.3,Restaurants,2021
4/12/2021,4/12/2021,PAYPAL *VIZMEDIALLC 888-221-1161 CA,1.99,Merchandise,2021
4/12/2021,4/12/2021,PUBLIC STORAGE 25452 800-567-0759 VA191644431,61.05,Services,2021
4/12/2021,4/12/2021,THE HOME DEPOT #4624 MECHANICSVILLVA,7.91,Home Improvement,2021
4/13/2021,4/13/2021,EZPASSVA AUTO REPLENISH 877-7627824 VA,35,Travel/ Entertainment,2021
4/13/2021,4/13/2021,STELLA S GROCERY RICHMOND VA,4.4,Supermarkets,2021
4/14/2021,4/14/2021,AMER FAM FIT MECHANICSVI MECHANICSVILLVA,7.67,Travel/ Entertainment,2021
4/14/2021,4/14/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW4QS111YA0,15.89,Merchandise,2021
4/14/2021,4/14/2021,KROGER FUEL #3510 MECHANICSVILLVA,25.71,Gasoline,2021
4/14/2021,4/14/2021,TACO BELL 16635 MECHANICSVLLEVA,26.47,Restaurants,2021
4/15/2021,4/15/2021,MCDONALD'S F17579 RICHMOND VA,25.51,Restaurants,2021
4/15/2021,4/15/2021,U HAUL STORE 0082427 RICHMOND VA,26.4,Merchandise,2021
4/17/2021,4/17/2021,AMER FAM FIT MIDLOTHIAN MIDLOTHIAN VA,3.63,Travel/ Entertainment,2021
4/17/2021,4/17/2021,JIMMY JOHNS - 1740 -ECOM RICHMOND VAAPPLE PAY ENDING IN 4775,17.14,Restaurants,2021
4/17/2021,4/18/2021,PUBLIC STORAGE 25452 800-567-0759 VA191751307,-21.05,Payments and Credits,2021
4/18/2021,4/18/2021,HEALING SPA MIDLOTHIAN VA,30,Services,2021
4/19/2021,4/19/2021,SP * COWAYMEGA 3235568457 CA,159,Merchandise,2021
4/20/2021,4/20/2021,EXXONMOBIL RICHMOND VA,26.08,Gasoline,2021
4/20/2021,4/20/2021,WWW.WOLFRAMALPHA.COM 8009653726 IL,6.99,Merchandise,2021
4/21/2021,4/21/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,4.24,Travel/ Entertainment,2021
4/21/2021,4/21/2021,KINGSISLE *PIRATE101 512-623-5983 TX0009IVY200000000000000,9.95,Merchandise,2021
4/21/2021,4/21/2021,PP*PP ROKU FOR CRUNCHYR 402-935-7733 CA,7.99,Services,2021
4/21/2021,4/21/2021,UBER EATS 866-576-1039 CA,44.61,Restaurants,2021
4/23/2021,4/23/2021,BONCHON - MECHANICSVILLE MECHANICSVILLVA,47.61,Restaurants,2021
4/24/2021,4/24/2021,LOWE'S OF MECHANICSVILLE MECHANICSVILLVA,84.67,Home Improvement,2021
4/24/2021,4/24/2021,SQ *CAPITOL WAFFLE SHO RICHMOND VA0002305843013922528704,5.78,Restaurants,2021
4/24/2021,4/24/2021,SQ *CAPITOL WAFFLE SHO RICHMOND VA0002305843013922494745,12.24,Restaurants,2021
4/26/2021,4/26/2021,MCDONALD'S F22474 GLEN ALLEN VA,13.27,Restaurants,2021
4/27/2021,4/27/2021,7-ELEVEN 32603 GLEN ALLEN VA,26.97,Gasoline,2021
4/27/2021,4/27/2021,PAYPAL *COUPLECENTS 402-935-7733 CA,9.99,Services,2021
4/27/2021,4/27/2021,WWW.CVS.COM 800-746-7287 RI,5,Merchandise,2021
4/28/2021,4/28/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,2.12,Travel/ Entertainment,2021
4/28/2021,4/28/2021,CVS/PHARMACY #01994 RICHMOND VA,28.54,Merchandise,2021
4/28/2021,4/28/2021,JIMMY JOHNS - 1740 -ECOM RICHMOND VA,23.95,Restaurants,2021
4/28/2021,4/28/2021,ORGANIC KRUSH - HENRICO HENRICO VA,55.66,Restaurants,2021
4/30/2021,4/30/2021,ALDI 80007 RICHMOND VA,20.92,Supermarkets,2021
4/30/2021,4/30/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,2.12,Travel/ Entertainment,2021
5/1/2021,5/1/2021,JIMMY JOHNS - 1300 RICHMOND VA,7.54,Restaurants,2021
5/1/2021,5/1/2021,NETFLIX.COM NETFLIX.COM CA47498177451,14.83,Services,2021
5/1/2021,5/1/2021,SPOTIFY P14A04BDA5 8777781161 NY,9.99,Merchandise,2021
5/1/2021,5/1/2021,SQ *NARWHALS ROLLED IC RICHMOND VA0002305843013952806198,18.4,Restaurants,2021
5/1/2021,5/1/2021,TAN A SUPERMARKET RICHMOND VA,69.52,Supermarkets,2021
5/1/2021,5/1/2021,TARGET RICHMOND VA,25.42,Merchandise,2021
5/1/2021,5/1/2021,TARGET RICHMOND VA,42.38,Merchandise,2021
5/1/2021,5/3/2021,ALDI 80004 RICHMOND VA,49.53,Supermarkets,2021
5/1/2021,5/3/2021,UST*USTA MEMBERSHIP 800-990-8782 NYUST*USTA MEMBERSHIP,44,Travel/ Entertainment,2021
5/2/2021,5/3/2021,FANDANGO 866-857-5191 CAAPPLE PAY ENDING IN 4775,18.96,Travel/ Entertainment,2021
5/2/2021,5/3/2021,FANDANGO 866-857-5191 CAAPPLE PAY ENDING IN 4775,38.74,Travel/ Entertainment,2021
5/2/2021,5/3/2021,FANDANGO 8668575191 CAAPPLE PAY ENDING IN 4775,-38.74,Payments and Credits,2021
5/2/2021,5/3/2021,PAYPAL *WEBULL TECH 402-935-7733 CA,1.99,Services,2021
5/3/2021,5/3/2021,4510 AMC RICHMOND 10 MIDLOTHIAN VA,30.73,Restaurants,2021
5/3/2021,5/3/2021,COR MOBILE APP METER FEE RICHMOND VA,1.5,Services,2021
5/3/2021,5/3/2021,EXXONMOBIL RICHMOND VA,27.57,Gasoline,2021
5/3/2021,5/3/2021,PAYPAL *HULU 402-935-7733 CA,5.99,Services,2021
5/3/2021,5/3/2021,PUBLIC STORAGE 25452 800-567-0759 VA192732028,54.6,Services,2021
5/3/2021,5/3/2021,WHOLEFDS WBS#10598 RICHMOND VA,73.37,Supermarkets,2021
5/4/2021,5/4/2021,STATE FARM INSURANCE 800-956-6310 IL,91.78,Services,2021
5/5/2021,5/5/2021,INTERNET PAYMENT - THANK YOU,-1404.1,Payments and Credits,2021
5/7/2021,5/7/2021,ALDI 71070 SILVER SPRINGMD,10.48,Supermarkets,2021
5/7/2021,5/7/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,94.95,Travel/ Entertainment,2021
5/7/2021,5/7/2021,BANNERS HALLMARK 54 FREDERICKSBRGVA,98.48,Merchandise,2021
5/9/2021,5/9/2021,BARNES & NOBLE #2093 BOWIE MD,110.57,Merchandise,2021
5/10/2021,5/10/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW516ZZ2YA0,15.89,Merchandise,2021
5/10/2021,5/10/2021,SQUARE ENIX 310-846-0345 CASQUARE ENIX,77.94,Travel/ Entertainment,2021
5/11/2021,5/11/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,1.52,Travel/ Entertainment,2021
5/11/2021,5/11/2021,TACO BELL 18147 RICHMOND VA,14.39,Restaurants,2021
5/11/2021,5/11/2021,TAKE 5 #232 RICHMOND VA,86.17,Automotive,2021
5/11/2021,5/11/2021,TARGET RICHMOND VA,13.86,Supermarkets,2021
5/12/2021,5/12/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,2,Travel/ Entertainment,2021
5/12/2021,5/12/2021,PAYPAL *VIZMEDIALLC 888-221-1161 CA,1.99,Merchandise,2021
5/13/2021,5/13/2021,TARGET RICHMOND VA,30.28,Merchandise,2021
5/14/2021,5/14/2021,DRIVE SHACK RICHMOND GOOCHLAND VA01437R,90,Travel/ Entertainment,2021
5/14/2021,5/14/2021,JASON'S DELI VRS 037 RICHMOND VA,19.73,Restaurants,2021
5/14/2021,5/14/2021,OFFICE DEPOT #2340 RICHMOND VA,7.61,Merchandise,2021
5/14/2021,5/14/2021,TOMMYS EXP CW - VA12 RICHMOND VA,16,Automotive,2021
5/15/2021,5/15/2021,SQ *HARK VINEYARDS EARLYSVILLE VA0002305843014011115031,12.64,Merchandise,2021
5/16/2021,5/16/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW52X7F7KA0,31.79,Merchandise,2021
5/16/2021,5/16/2021,BODOS BAGELS CHARLOTTESVILVA,8.27,Restaurants,2021
5/17/2021,5/17/2021,"LOWE'S OF E. RICHMOND, V HENRICO VA",31.79,Home Improvement,2021
5/17/2021,5/17/2021,TARGET RICHMOND VA,22.71,Merchandise,2021
5/18/2021,5/18/2021,T-MOBILE PAYMENTS 800-937-8997 WAAPPLE PAY ENDING IN 4775T-MOBILE PAYMENTS,86.25,Services,2021
5/19/2021,5/19/2021,ADVANCE AUTO PARTS #2330 RICHMOND VA,12.71,Automotive,2021
5/19/2021,5/19/2021,JCPENNEY 1140 RICHMOND VA,91.85,Department Stores,2021
5/19/2021,5/19/2021,TARGET RICHMOND VA,68.85,Merchandise,2021
5/19/2021,5/19/2021,THE HOME DEPOT #4632 RICHMOND VA,22.58,Home Improvement,2021
5/20/2021,5/20/2021,EXXONMOBIL RICHMOND VA,17.87,Gasoline,2021
5/20/2021,5/20/2021,GIANT 0135 SILVER SPRINGMD02039R,26.97,Supermarkets,2021
5/21/2021,5/21/2021,JIMMY T'S SOFT SERVE DUMFRIES VA,16,Restaurants,2021
5/21/2021,5/21/2021,PP*PP ROKU FOR CRUNCHYR 402-935-7733 CA,7.99,Services,2021
5/21/2021,5/21/2021,SUNOCO 0545097800 DUMFRIES VA,31.25,Gasoline,2021
5/22/2021,5/22/2021,GUITAR CENTER #845 RICHMOND VA,50.7,Merchandise,2021
5/22/2021,5/22/2021,MUSIC & ARTS 82 RICHMOND VA,37.89,Merchandise,2021
5/23/2021,5/23/2021,EZPASSVA AUTO REPLENISH 877-7627824 VA,35,Travel/ Entertainment,2021
5/24/2021,5/24/2021,AMER FAM FIT VA CTR COMM GLEN ALLEN VA,2,Travel/ Entertainment,2021
5/24/2021,5/24/2021,INTERNET PAYMENT - THANK YOU,-1412.32,Payments and Credits,2021
5/24/2021,5/24/2021,JIMMY JOHNS - 1741 -ECOM RICHMOND VAAPPLE PAY ENDING IN 4775,12.59,Restaurants,2021
5/25/2021,5/25/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW54D041SA0,5.29,Merchandise,2021
5/25/2021,5/25/2021,EZPASSVA AUTO REPLENISH 877-7627824 VA,35,Travel/ Entertainment,2021
5/25/2021,5/25/2021,JIMMY JOHNS - 1740 -ECOM RICHMOND VAAPPLE PAY ENDING IN 4775,12.59,Restaurants,2021
5/25/2021,5/25/2021,TARGET GLEN ALLEN VA,22.25,Merchandise,2021
5/26/2021,5/26/2021,JIMMY JOHNS - 1740 -ECOM RICHMOND VAAPPLE PAY ENDING IN 4775,17.37,Restaurants,2021
5/27/2021,5/27/2021,PAYPAL *COUPLECENTS 402-935-7733 CA,9.99,Services,2021
5/27/2021,5/27/2021,USPS PO 1049480240 WASHINGTON DC,26.35,Government Services,2021
5/28/2021,5/28/2021,CARROLLS AUTO SERVICE RICHMOND VA,286.31,Automotive,2021
5/28/2021,5/28/2021,LYFT *1 RIDE 05-27 855-865-9553 CA,21.24,Travel/ Entertainment,2021
5/28/2021,5/28/2021,WALMART SC 05941 WASHINGTON DC,51.77,Merchandise,2021
5/29/2021,5/29/2021,EXXONMOBIL RICHMOND VA,28.92,Gasoline,2021
5/29/2021,5/29/2021,LYFT *1 RIDE 05-28 855-865-9553 CA,26.84,Travel/ Entertainment,2021
5/29/2021,5/29/2021,TARGET RICHMOND VA,39.2,Supermarkets,2021
5/29/2021,5/29/2021,UBER EATS 866-576-1039 CA,4.15,Restaurants,2021
5/29/2021,5/29/2021,UBER EATS 866-576-1039 CA,23.07,Restaurants,2021
5/30/2021,5/30/2021,BOTTOMS UP PIZZA RICHMOND VA,54,Restaurants,2021
5/30/2021,5/30/2021,EZPASSVA AUTO REPLENISH 877-7627824 VA,35,Travel/ Entertainment,2021
5/30/2021,5/30/2021,MCDONALD'S F17579 RICHMOND VA,8.28,Restaurants,2021
5/30/2021,5/30/2021,TARGET GLEN ALLEN VA,60.92,Merchandise,2021
5/31/2021,5/31/2021,ALDI 80022 RICHMOND VA,17.31,Supermarkets,2021
5/31/2021,5/31/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW5727QLFA0,37.09,Merchandise,2021
5/31/2021,5/31/2021,SHEETZ 035000003509498 RICHMOND VA,9.55,Gasoline,2021
5/31/2021,5/31/2021,TARGET RICHMOND VA,21.18,Supermarkets,2021
5/31/2021,5/31/2021,U HAUL STORE 0082427 804-3584978 VA,57.27,Travel/ Entertainment,2021
6/1/2021,6/1/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,49,Travel/ Entertainment,2021
6/1/2021,6/1/2021,NETFLIX.COM NETFLIX.COM CA48401860935,14.83,Services,2021
6/1/2021,6/1/2021,SPOTIFY P154F38ABC 8777781161 NY,9.99,Merchandise,2021
6/2/2021,6/3/2021,GO MART #94 ROANOKE VA,29.04,Gasoline,2021
6/2/2021,6/3/2021,KRYSTAL AND SAAGAR 202-531-7527 DC,10,Merchandise,2021
6/2/2021,6/3/2021,PAYPAL *HULU 402-935-7733 CA,0.4,Services,2021
6/2/2021,6/3/2021,PAYPAL *SHOWTIMEPPV 402-935-7733 CA,49.99,Services,2021
6/2/2021,6/3/2021,PAYPAL *WEBULL TECH 402-935-7733 CA,1.99,Services,2021
6/3/2021,6/3/2021,PAYPAL *HULU 402-935-7733 CA,11.99,Services,2021
6/3/2021,6/3/2021,PUBLIC STORAGE 25452 800-567-0759 VA194430343,78,Services,2021
6/3/2021,6/3/2021,STATE FARM INSURANCE 800-956-6310 IL,69.88,Services,2021
6/3/2021,6/3/2021,TEXAS ROADHOUSE #2518 ROANOKE VA,105,Restaurants,2021
6/4/2021,6/4/2021,INTERNET PAYMENT - THANK YOU,-1368.32,Payments and Credits,2021
6/4/2021,6/4/2021,TARGET RICHMOND VA,84.8,Merchandise,2021
6/4/2021,6/4/2021,U HAUL STORE 0082429 804-2310332 VA,88.37,Travel/ Entertainment,2021
6/5/2021,6/5/2021,"LOWE'S OF E. RICHMOND, V HENRICO VA",1.36,Home Improvement,2021
6/5/2021,6/5/2021,PANERA BREAD #601639 P RICHMOND VA00521R,13.72,Restaurants,2021
6/5/2021,6/5/2021,TARGET RICHMOND VA,80.55,Merchandise,2021
6/5/2021,6/5/2021,USPS CHANGE OF ADDRESS 800-238-3150 TN,1.05,Government Services,2021
6/6/2021,6/6/2021,LYFT *2 RIDES 06-05 855-865-9553 CA,31.77,Travel/ Entertainment,2021
6/6/2021,6/6/2021,TARGET RICHMOND VA,192.86,Merchandise,2021
6/7/2021,6/7/2021,AMERICAN FAMILY FIT SHOR RICHMOND VA,94.95,Travel/ Entertainment,2021
6/7/2021,6/7/2021,BEDBATH&BEYOND RICHMOND VA,110.19,Merchandise,2021
6/9/2021,6/9/2021,CCBILL.COM 888-5969279 AZ,4.99,Merchandise,2021
6/9/2021,6/9/2021,ONLYFANS.COM 8886880458 IL,3.89,Merchandise,2021
6/9/2021,6/9/2021,SQUARE ENIX 310-846-0345 CASQUARE ENIX,77.94,Travel/ Entertainment,2021
6/10/2021,6/10/2021,CAVA GRILL SWIFT CREEK MIDLOTHIAN VA,25.06,Restaurants,2021
6/10/2021,6/10/2021,CCBILL.COM 888-5969279 AZ,6.25,Merchandise,2021
6/10/2021,6/10/2021,CCBILL.COM 888-5969279 AZ,9.99,Merchandise,2021
6/10/2021,6/10/2021,CCBILL.COM 888-5969279 AZ,11.99,Merchandise,2021
6/10/2021,6/10/2021,STARBUCKS STORE 07780 MIDLOTHIAN VA1546AE60A1ED694528,3.13,Restaurants,2021
6/11/2021,6/11/2021,APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4775MMW5BD0T2NA0,15.89,Merchandise,2021
6/11/2021,6/11/2021,JIMMY JOHNS - 3133 - E RICHMOND VAAPPLE PAY ENDING IN 4775,16.78,Restaurants,2021
6/11/2021,6/11/2021,PAYPAL *BARNESNOBLE 402-935-7733 CA,52.11,Merchandise,2021
6/11/2021,6/11/2021,YCC STORE 00646 RICHMOND VA,31.8,Merchandise,2021
6/12/2021,6/12/2021,BARNES & NOBLE #2065 GLEN ALLEN VA,8.37,Merchandise,2021
6/12/2021,6/12/2021,OFFICEMAX/DEPOT 6605 GLEN ALLEN VA,0.24,Merchandise,2021
6/12/2021,6/12/2021,OFFICEMAX/DEPOT 6605 GLEN ALLEN VA,14.18,Merchandise,2021
6/12/2021,6/12/2021,PAYPAL *VIZMEDIALLC 888-221-1161 CA,1.99,Merchandise,2021
6/13/2021,6/13/2021,MCDONALD'S F5392 RICHMOND VA,2.32,Restaurants,2021
6/14/2021,6/14/2021,WAWA 8600 RICHMOND VA,30.12,Gasoline,2021
6/16/2021,6/16/2021,USPS PO BOXES ONLINE 800-344-7779 DC,194,Government Services,2021
6/17/2021,6/17/2021,STAPLES 00103168105 RICHMOND VA,3.13,Merchandise,2021
6/17/2021,6/17/2021,VERIZON*ONETIMEPAY VERIZON.COM FL534324653566429670001,50,Services,2021
6/18/2021,6/18/2021,OFFICEMAX/DEPOT 6814 RICHMOND VA,7.82,Merchandise,2021
6/18/2021,6/18/2021,T-MOBILE PAYMENTS 800-937-8997 WAAPPLE PAY ENDING IN 4775T-MOBILE PAYMENTS,86.25,Services,2021
